#condition	#repeat	#log2_FC
ovary_Akkouche_H3K9me3_piwiemKD	Rsp_SAT	-2.20
ovary_Akkouche_H3K9me3_piwiemKD	1pt688_SAT	-2.36
ovary_Akkouche_H3K9me3_piwiemKD	Rsp_SAT	-2.32
ovary_Akkouche_H3K9me3_piwiemKD	1pt688_SAT	-2.47
ovary_Akkouche_H3K9me3_piwiemKD	Rsp_SAT	-2.00
ovary_Akkouche_H3K9me3_piwiemKD	1pt688_SAT	-2.56
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_20A	-0.26
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_flamenco	-0.91
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_42AB	-1.42
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_38C1	-0.35
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_38C2	-0.32
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_80F	-0.56
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_20A	-0.53
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_flamenco	-1.13
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_42AB	-1.73
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_38C1	-0.56
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_38C2	-0.82
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_80F	-0.56
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_20A	-0.78
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_flamenco	-1.19
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_42AB	-1.35
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_38C1	-0.60
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_38C2	-0.83
ovary_Akkouche_H3K9me3_piwiemKD	piRNA_cluster_80F	-0.55
